,text,link,comments,likes,reposts,date,time,day_week
0,Очаровательная работа Джастина Вуда.,https://sun1-27.userapi.com/impg/tQYPsns2QS0kjnNLlp383A-Y04rRZd0VUtstjw/DwZCQvE3qJY.jpg?size=640x800&quality=96&sign=e529081e01f50d45ba69ff4a2210a1d9&c_uniq_tag=TbjcRgAVLdC-Axd8uXNEYpIgzQ3gwREWqoss6VTphMI&type=album,26,4533,1088,2021-11-07,2021-11-07 22:07:00,Sunday
1,,,1,5,1,2021-12-01,2021-12-01 17:53:30,Wednesday
2,Дуальность cтpит-aрта в России.,https://sun1-93.userapi.com/impg/cfzPJLrIGxLh4ih2cg-AqY58vnVdQOpYruxrJw/K51n5cxET6E.jpg?size=1768x1315&quality=96&sign=2eac462d9fbfe23388da66312676e3ea&c_uniq_tag=gfORA4UiS6ikowkuBQTWhKThVS90sxL3Af5I5kYZPLQ&type=album,8,133,22,2021-12-01,2021-12-01 17:30:00,Wednesday
3,Очаровательные винтажные открытки с котятами.,https://sun1-20.userapi.com/impg/pID4Np-e82HQFUgHwK_NiLCw0ikBN73Wig6pEQ/Pobg_XkPvzE.jpg?size=564x872&quality=96&sign=90fdcb397ed98546557189e5c0331b5f&c_uniq_tag=IJMcevRN-IvWmUbLXiaL5gqXZobS4KEF_tsaQCrF1js&type=album,6,184,112,2021-12-01,2021-12-01 16:47:00,Wednesday
4,Большое поле подсолнечника в Польше привлекло множество видов птиц; в основном зеленушек; щеглов и юрков. Вблизи это выглядит фантастично. Фотограф / Mateusz Piesiak,https://sun1-97.userapi.com/impg/EUOGDwixTH6yJqkBoczzaSwQrQrCCPk7htSyUg/LKLTVg8ZUdw.jpg?size=880x587&quality=96&sign=6d359984757c1cf51644ad5e69e84f53&c_uniq_tag=-L-n5rbu-n7VW_WK0K7J8SxWxOViMcj5tqiVGVTvaHA&type=album,4,210,32,2021-12-01,2021-12-01 16:30:00,Wednesday
5,«Глина» Художник / Коробков Денис,https://sun1-17.userapi.com/impg/HwP90JZ8UORQjHb-0nwv0p9i7NxSrFUcayfUdQ/CulX2QDdKmk.jpg?size=1942x1931&quality=95&sign=1cd2b94d003ad7ec0431daa99e962077&c_uniq_tag=_Hnh6UPSRLJlGTtPznHGqIEv3dA-hSzlCavKQ_j_v80&type=album,1,78,4,2021-12-01,2021-12-01 16:25:00,Wednesday
6,Наблюдатель. Снимок одного из победителей Sienna International Photo Awards.,https://sun1-90.userapi.com/impg/tbrjhWiOLxyHc3bx_1BbsdWqMXuuJ5m7YM0RCA/ym7JeCNpvC4.jpg?size=880x543&quality=96&sign=6d47d02fe9d762c458fcf2eb838bf767&c_uniq_tag=ADJpfeeY_xzQJwGUU20Z36QT_JUYGNS7zCQlS8xWlfM&type=album,1,333,76,2021-12-01,2021-12-01 14:23:00,Wednesday
7,Тот случай; когда по протоптанной тобой тропе пойдут люди; думая; что это оптимальный маршрут.,https://sun1-87.userapi.com/impg/tp61JeE01KqAsUVWMw9MZFmomO4DA0K6G0YJWA/g62mrmC7XYA.jpg?size=564x704&quality=96&sign=33e4eb0471f41de8dbc916af39a69705&c_uniq_tag=nEQ2FOj49X8oirMjDObrGvm6LUVMkMcM6eg9FAamtW4&type=album,13,389,49,2021-12-01,2021-12-01 12:25:00,Wednesday
8,‼БЕСПЛАТНЫЙ ДОСТУП К КУРСУ ПО 3-D МОДЕЛИРОВАНИЮ ОТ УНИВЕРСИТЕТА КАЙНО! 🔥 Что вас ждет: ● бесплатный курс 7 дней ● 11 уроков по 15-20 минут в записи - сможете выполнять задания в удобное время для вас ● чат + индивидуальная техподдержка - вы круглосуточно можете получить ответы на ваши вопросы ● проверка ваших заданий и обратная связь ● Никаких вебинаров - только уроки и практика ● Именной сертификат от нашей школы по окончанию курса ✅ Что вы получите за 7 дней? - Установите бесплатную программу Blender - с нашей помощью освоите ее интерфейс и настройки - Изучите ; какие бывают типы графики поймете логику работы - Узнаете все о моделировании и текстурировании - мы поможем вас разобраться - Создадите свою первую крутую профессиональную 3-D иллюстрацию ⛔ НИКАКОЙ ВОДЫ!!! Вы убедитесь; что с 3-D моделированием справится даже новичок! 3-D графика используется практически во всех отраслях: - в разработке компьютерных игр - в создании визуализации интерьера; архитектуры - в графическом дизайне - в создании фильмов и анимации - 3-D печать Оплачивается эта деятельность весьма щедро - получаете 3-4 средние зарплаты; как минимум 💫 Если вы творческая личность и цените свою свободу. Хотите освоить увлекательную и прибыльную профессию; мечтаете раскрыть свой потенциал и в будущем хотите начать достойно зарабатывать… Этот курс отличная возможность для Вас научиться крутой профессии; и возможность осуществить свои мечты! 🎓 Обучение проводит Павел Голубев: ◆ в 3-D графике уже 4-й год ◆ преподавать начал в университете - 3 года преподавал информационные технологии; параллельно обучаясь в аспирантуре ◆ Увлекался фотографией; коллажировал фото ◆ Изучал программы и принял решение остаться в профессии 3-D художника ◆ Писал статьи для журнала Render 👇🏻 Кликайте смело по ссылке и начинайте обучение прямо сейчас! Ваше будущее в ваших руках! Вперед! https://vk.com/app5898182_-192626588#u=1334139&s=680169&force=1&utm_source=faqpromo&utm_medium=posev ⚠ ВАЖНО: на изображениях работы учеников; после прохождения бесплатного курса,https://sun1-94.userapi.com/impg/thFDq4mtxYEDJQ-myQo5DaecdV166rrkWNnDlw/abhPtL6qyLc.jpg?size=2560x2027&quality=96&sign=fa707df4119fc1dd3c4d9ecccedd3e06&c_uniq_tag=N_MGw9xpov9b5vYCUPnjK7SfeNB7i4M411iisWPOeOQ&type=album,1,20,11,2021-12-01,2021-12-01 08:05:00,Wednesday
9,Тревожное настроение. Отражение впечатляет... «Прогулка»  Художник / Стефан Койдл,https://sun1-28.userapi.com/impg/eBMxZgojryy55qT_8ea3dsMszwEZtq2TsCln-w/gaRnsSTGSS8.jpg?size=1464x2030&quality=96&sign=9791fae4e57d4891e03e0c5464a4e503&c_uniq_tag=Jtua2GQb2VceB4j5cpzv1pZbrpKqUUgCwmr2s0Lgzf4&type=album,18,586,87,2021-11-30,2021-11-30 22:30:00,Tuesday
10,Зимние городские пейзажи Ильгиза Гимранова. В его картинах с панельками и разноцветьем окон передано детское; незамутненное восприятие мира; которое видит красоту и радость во всем.,https://sun1-94.userapi.com/impg/TVFTRf8XPQVh2LdsoeAYPwcuF6mkZSPznCD7kA/cWaYXkW1Dwo.jpg?size=2560x1844&quality=96&sign=4b76999a5e8f80732b139380316dce6c&c_uniq_tag=m-wGO9Zxb--bxPs-9FZ1pxo6xX_3aFTWjGWiuzCFjJ4&type=album,18,513,140,2021-11-30,2021-11-30 20:30:00,Tuesday
11,"Айвазовский и тут остался верен себе и написал воду; пусть и в виде кристаллов. ""Зимний пейзаж""; 1876  Художник / Иван Айвазовский",https://sun1-96.userapi.com/impg/HA9fJ7UaM1VcKWzKkfz9dXQu90tS8ov_x_Orcw/l_ZkcdRz8b0.jpg?size=2123x1600&quality=96&sign=0a36895855bb31ea451f17b2934ea152&c_uniq_tag=YNBxwlTw_SKuE_NopQraGQ1eM58E7G0fLRIBg5DtlFw&type=album,13,1447,276,2021-11-30,2021-11-30 18:30:00,Tuesday
12,Персидско-арабские узоры.,https://sun1-86.userapi.com/impg/JgrRqKK_lmhaNlm7o9gpMyBWA_qy8PUfOFDzbA/KNwjJnIVbA8.jpg?size=564x752&quality=96&sign=692e24f9dc53fe247565637f8960a38b&c_uniq_tag=WFFvxUrXzov9kVhF2MAqLseJS7wxCqlgncxz8Xg0NRs&type=album,6,613,174,2021-11-30,2021-11-30 16:30:00,Tuesday
13,Невероятно красивые фотографии кристаллов льда.,https://sun1-87.userapi.com/impg/MUCbN3-l2afjnBIplFu5OpT_mKNKdzaFMnY4gw/0Qb98dxY_TQ.jpg?size=736x981&quality=96&sign=4e2ff9b7052dd2a1d78a675904c8acf6&c_uniq_tag=CvQX37WOWVv5Tmq0ogzt1cjFmwZiCo-C5pN5PqG0ndg&type=album,7,507,132,2021-11-30,2021-11-30 14:30:00,Tuesday
14,Художница / Ирина Камберленд (irinacumberland) Я наблюдала; как океан плавно движется туда-сюда; мерцающий свет танцует на поверхности; крошечные радуги отражаются от песка; убаюкивая. Я решил запечатлеть эту красоту на холсте. В результате появилась картина под названием «Нет войне».,https://sun1-30.userapi.com/impg/4O0bUByDV2uAlwNwEEFZZCLXB4IDKzLz-ExuTw/e5bczVL8SEs.jpg?size=750x938&quality=96&sign=9f79d02e6cfb8636cc2b1ad1211bce1e&c_uniq_tag=T7Je5qAvXWXRzli7SJXQ4Ur8nKDy2Nt2AiQMRX7x9fU&type=album,13,261,58,2021-11-30,2021-11-30 12:30:00,Tuesday
15,Научим рисовать в Photoshop с нуля! Обучение начинается с освоения программы Adobe Photoshop и ее инструментов. К каждому уроку прилагается теоретическая и практическая части. Вы изучите перспективу; свет и тень. Композицию и стилизацию. Поймете; как передавать объем и реалистичность предмета. На середине обучения перейдем к работе с цветом и текстурами; а после выполним качественный рендер дипломного проекта. Бонусом в обучении будут полученные знания по созданию своего дизайна с нуля. [https://vk.com/app5898182_-156791464#u=785921&s=503463&force=1|👉🏻Программа курса; расписание и условия участия👈🏻],https://sun1-54.userapi.com/impg/3scaAvMY4RQBWLKV2W--gWuRcDgNVq7BdSZmfw/YxBy2_jcUSs.jpg?size=750x750&quality=96&sign=2261216984248627c47fb46fdd22d384&c_uniq_tag=-khkNbJleJl61PaTJ5errEmkU9NO_x6AYKd1iLHGdRY&type=album,0,42,22,2021-11-30,2021-11-30 06:40:00,Tuesday
